Wall time,Step,Value
1682570370.8896098,1,0.00012287855497561395
1682570411.9471993,2,0.00014690625539515167
1682570452.8394384,3,0.00018227867258246988
1682570493.6615639,4,0.0002025158319156617
1682570534.4802186,5,0.0002114859235007316
1682570575.451149,6,0.00021979953453410417
1682570616.3744648,7,0.0002251800033263862
1682570657.4102106,8,0.00022818580328021199
1682570698.4866807,9,0.00022985711984802037
1682570739.4350498,10,0.00023040555242914706
1682570780.19137,11,0.00023034826153889298
1682570821.14556,12,0.00023008589050732553
1682570861.952315,13,0.00022994927712716162
1682570903.2073743,14,0.00023004051763564348
1682570944.4068193,15,0.0002302234061062336
1682570985.3370485,16,0.00023045021225698292
1682571026.308008,17,0.000230729827308096
1682571067.3155062,18,0.00023111817426979542
1682571108.086711,19,0.00023169304768089205
1682571149.4009545,20,0.00023247752687893808
1682571190.3186939,21,0.00023344701912719756
1682571231.271677,22,0.00023456338385585696
1682571272.1753144,23,0.00023579674598295242
1682571313.1732364,24,0.00023712044639978558
1682571354.3691983,25,0.00023850923753343523
