Wall time,Step,Value
1682568128.372434,1,9.104482887778431e-05
1682568177.4504697,2,0.00011625657498370856
1682568226.5840616,3,0.00015431323845405132
1682568276.0826092,4,0.0001830959226936102
1682568325.2899644,5,0.00020236708223819733
1682568374.233184,6,0.0002159403811674565
1682568423.3034925,7,0.00022619450464844704
1682568469.5155294,8,0.0002340833016205579
1682568515.701025,9,0.00024020903219934553
1682568559.8840063,10,0.00024496871628798544
1682568606.9730942,11,0.00024869159096851945
1682568653.395323,12,0.0002516564563848078
1682568701.3835723,13,0.00025407320936210454
1682568750.9024205,14,0.00025606495910324156
1682568800.424662,15,0.0002577192208264023
1682568848.1698556,16,0.0002591000811662525
1682568895.8775313,17,0.0002602514869067818
1682568941.723694,18,0.0002612099633552134
1682568985.851257,19,0.00026200516731478274
1682569033.495216,20,0.00026266268105246127
1682569080.3902102,21,0.0002632046234793961
1682569127.2525187,22,0.000263651687419042
1682569174.7780669,23,0.0002640222373884171
1682569222.7583122,24,0.00026433172752149403
1682569271.6517918,25,0.00026459366199560463
